Index,name,latitude,longitude,distance,climb,descent,hours,minutes,seconds,difficulty
104,Claymore,34.6871,-86.64872,4961,12,246,0,10,1,3
105,Coaster Trail,30.78052,-88.09769,16368,12,12,0,4,22,2
106,Cobra,34.68771,-86.65149,3005,7,30,0,5,38,2
107,COGS Loop 63C,33.19914,-86.18326,10560,240,243,0,18,35,2
108,Col Rinaker Trail,30.73692,-87.9114,1368,31,10,0,2,31,2
109,Cold Springs Connector,34.74626,-86.52392,223,11,12,0,1,10,2
110,Cold Springs Trail,34.74743,-86.51758,5067,105,237,0,5,53,4
111,Cold Springs Trail,34.74775,-86.53228,1112,20,67,0,2,32,4
112,Colonel Black Trail,30.7464,-87.90874,869,3,16,0,0,43,2
113,Comanche,34.69777,-86.65374,4026,17,52,0,5,51,1
114,Confederate Line Trail,30.73943,-87.91922,4050,17,30,0,4,52,1
115,Connector,33.25426,-87.06268,1539,135,58,0,2,44,2
116,Connector,33.21529,-87.44483,5197,138,148,0,8,34,2
117,Connector A,31.21626,-85.45613,3899,94,111,0,3,54,1
118,Connector B,31.21626,-85.45613,2919,161,134,0,3,7,1
119,Cowboy Bebop,31.33523,-85.73093,3930,78,28,0,6,31,1
120,Crazy Train,34.71313,-86.43846,1342,29,33,0,6,39,2
121,Creek,33.26233,-87.53057,2149,28,30,0,3,53,2
122,Creek Path,34.03726,-86.03572,3169,19,18,0,4,51,1
123,Creek Trail (North),32.4143,-86.22546,1750,14,5,0,2,9,1
124,Creek Trail (South),32.41032,-86.22673,4121,40,12,0,4,33,1
125,Creek View Trail,32.54798,-85.48166,6864,107,70,0,13,11,2
126,Creekside,33.21312,-87.45922,3356,72,96,0,4,20,2
127,Creekside,33.63615,-86.869,2730,47,51,0,9,23,2
128,Creekview Loop #4,33.33312,-86.86432,2992,24,46,0,4,17,2
129,Cut Off,34.50495,-85.63617,1473,2,52,0,2,4,1
130,Cutchemine,34.3723,-86.2125,12672,538,610,0,27,18,2
131,Dallas Branch,34.75206,-86.53986,1928,148,2,0,5,5,2
132,Dark Side (phase 1),34.49396,-85.6461,10560,137,141,0,22,6,1
133,Dead Armadillo,33.26094,-87.52958,614,2,5,0,0,44,3
134,Death by Concrete,33.26206,-87.5309,945,6,5,0,1,50,3
135,Deer Rub Trail,32.54887,-85.47665,3058,47,142,0,9,47,4
136,Deer Run,33.49396,-85.80396,5808,150,66,0,14,30,2
137,Dell's Trail,32.55299,-85.47822,2060,11,11,0,4,58,3
138,Della Ray Loop,33.26934,-87.53393,4626,73,71,0,9,18,2
139,Devil's Driveway,32.62646,-86.24655,1848,12,62,0,3,38,2
140,Devil's Racetrack Lower,34.8078,-86.58983,3261,61,25,0,6,31,2
141,Devil's Racetrack Upper Loop,34.82092,-86.59736,2159,14,18,0,6,16,1
142,Dog Hill,34.04285,-86.03393,6336,135,220,0,17,24,2
143,Dragon Tail,34.70869,-86.42604,2011,71,4,0,4,53,2
144,Dragon's Tail,31.21028,-85.45677,8448,158,158,0,15,42,1
145,Dragon's Tail Advance Trail,31.21028,-85.45677,4970,75,61,0,7,55,3
146,Dragons Tail,34.50531,-85.63698,3661,39,135,0,6,40,2
147,Draw Dropper,32.55257,-85.46968,604,2,66,0,0,32,3
148,Drift Mine,34.04222,-86.02972,5808,95,198,0,10,5,1
149,Driskell Trail,34.77422,-86.54983,4409,39,33,0,4,41,1
150,DS TT,30.69402,-88.20058,8976,38,35,0,17,36,2
151,Duck River Full Loop,34.18531,-86.67608,96096,2275,2275,2,3,2,2
152,East Plateau Trail,34.59021,-86.51388,2936,31,73,0,5,31,1
153,Eastman Flow,33.64497,-85.8478,2726,4,179,0,3,24,1
154,Eureka Mines Trail,33.44519,-86.86227,3424,227,61,0,6,53,1
155,EZ Roller,34.70571,-86.42809,1877,11,26,0,2,32,2
156,Falls View Trail,32.55066,-85.48114,5808,56,80,0,9,12,2
157,Family Bike Trail,34.743,-86.50828,13200,206,209,0,13,44,1
158,Family Loop,34.04218,-86.02956,2339,42,55,0,4,41,1
159,Family Trail,33.26296,-87.53145,2349,8,9,0,2,31,1
160,Family Trail,34.50494,-85.63617,10032,112,178,0,13,16,1
161,Family Trail,33.32136,-86.76492,2966,29,18,0,4,41,1
162,Fanning Trail,34.67351,-86.53069,11088,748,330,0,28,25,3
163,Fire Pits,33.3119,-86.75561,4208,166,130,0,8,31,2
164,Firetower Trail,34.73214,-86.50398,8448,144,120,0,9,46,1
165,Five Bridges,33.26259,-87.53035,2851,31,31,0,10,34,3
166,Five Oaks Loop Trail,33.29949,-87.69048,14256,367,386,0,21,23,2
167,Flat Rock Connector,34.72725,-86.49667,2030,320,3,0,15,33,3
168,Flo-Rida,32.54637,-85.48681,2021,90,72,0,2,38,2
169,Flying Squirrel,33.19095,-87.00064,4294,165,22,0,7,7,2
170,For Pete's Sake,32.54847,-85.48621,14256,345,337,0,24,33,1
171,Foreplay,33.31718,-86.76677,2392,18,70,0,3,33,2
172,Fossil Bench,34.81744,-86.6242,6336,18,39,0,8,54,2
173,Fox Trail,32.55623,-85.47011,4160,95,24,0,6,24,2
174,Foxtrot,34.69777,-86.65374,3123,60,22,0,4,12,1
175,Freedom Rider,33.69926,-85.79605,1919,29,37,0,2,44,2
176,Front Trail,30.69487,-88.19606,3818,56,55,0,4,56,2
177,Furnace Quarry Trail,33.24721,-87.0671,7392,215,203,0,23,10,3
178,G-Force,34.04155,-86.03982,2507,22,204,0,3,3,2
179,Garrett's Gulch,33.33949,-86.73202,6336,62,103,0,10,38,2
180,Gas Light Trail,34.74259,-86.54756,1089,2,11,0,2,25,3
181,Gazza,33.61979,-85.88632,10032,178,580,0,27,49,3
182,General Cockrells Loop,30.75022,-87.90675,5808,14,11,0,6,37,1
183,General Cockrells Trail,30.74885,-87.90933,3893,82,127,0,6,56,2
184,General Garrad Trail,30.73874,-87.91953,2018,8,4,0,2,37,1
185,General Garrard Trail,30.73994,-87.91546,2065,18,11,0,2,52,1
186,General Liddells Trail,30.74145,-87.92386,1837,48,51,0,4,16,1
187,General Mundy,32.60015,-85.50624,4922,89,89,0,12,40,2
188,Gilliam Loop,34.48985,-85.60855,17424,824,838,0,24,30,1
189,Goat Trail,34.727,-86.50218,12144,115,321,0,28,57,3
190,Goldilocks,33.62281,-85.88274,6864,115,530,0,7,29,2
191,Golf Course Loop,34.39555,-86.20354,19536,313,336,0,31,56,1
192,Grant's Way,34.70769,-86.42977,3868,3,39,0,6,55,2
193,Grasslands,30.69457,-88.19664,5808,262,244,0,5,53,1
194,Green Gravity,33.60871,-85.9167,4330,66,319,0,8,58,1
195,Green Street,30.74761,-87.91616,3332,52,64,0,5,37,1
196,Greene Trail,34.81051,-87.69813,1854,5,95,0,5,9,2
197,Groundhogs Day,32.54576,-85.48969,7392,103,100,0,10,12,2
198,Grubb Run,31.33684,-85.72022,12672,156,203,0,24,19,2
199,Half Pipe Bypass,30.77485,-88.0942,16368,7,3,0,53,12,1
200,Hallets Trail,30.73904,-87.91975,5808,77,63,0,6,26,1
201,HAMR Beginner's Loop,34.74374,-86.50802,971,3,3,0,3,27,1
202,Hare,33.63284,-85.86319,9504,258,800,0,10,31,1
203,Harper Tent Trail,30.74172,-87.91345,1988,11,15,0,1,58,1
204,Harris,34.8157,-86.60613,5808,196,114,0,14,48,4
205,Hellfire,34.68249,-86.65093,3503,3,295,0,10,15,3
206,Hemp Trail,30.7807,-88.09775,3548,32,53,0,7,34,1
207,Henry Farm,33.78457,-85.76903,17952,182,185,0,58,56,2
208,Henry Farm,33.78401,-85.76537,5808,135,126,0,16,10,2
209,High Gravity,32.54979,-85.47635,5280,87,119,0,10,10,2
210,High Trail,34.74678,-86.53937,7392,150,125,0,18,0,2
211,Highlands Trail,33.70027,-86.70476,2023,61,188,0,2,28,1
212,Holy Highway,33.26238,-87.52743,2917,30,50,0,2,35,2
213,Honeycomb Trail,34.42871,-86.39179,43824,858,841,1,33,34,2
214,Hyde (Upper Jekyll),33.31707,-86.75285,4770,212,50,0,13,24,3
215,Ike Matson Trail,33.44001,-86.88154,13200,561,498,0,32,10,3
216,Illegal Side Loop,33.51544,-86.75498,8448,151,209,0,17,34,2
217,IMBA Trail,33.25558,-87.05835,6336,262,136,0,10,51,2
218,Indian Falls Trail,34.4937,-85.61776,3159,81,91,0,6,52,1
219,Indian Loop,30.78032,-88.10783,16368,49,48,0,22,48,2
220,Indian Loop Connector,30.78164,-88.10622,723,10,1,0,0,47,2
221,Indian Tree,34.70921,-86.42852,6864,62,60,0,13,21,2
222,Iron Runner Loop,33.24977,-87.05234,16896,465,465,0,18,5,2
223,Iron Works Loop,33.2556,-87.05807,17424,550,650,0,23,2,1
224,Ironlegs Loop,33.71741,-85.69993,28512,672,622,1,16,27,2
225,Ishkooda Connector,33.46416,-86.84577,1855,14,108,0,1,33,1
226,Ishkooda Trail,33.45416,-86.86112,6336,201,176,0,10,22,2
227,Jackson Spring Trail Loop,30.74259,-87.92248,2740,79,84,0,5,11,2
228,Jaque Pate Trail,30.74479,-87.9223,840,13,9,0,4,35,2
229,JCC Jumpline,33.51544,-86.75498,2713,6,170,0,6,51,2
230,Jeep Hill,34.04218,-86.02956,4872,76,88,0,7,23,1
231,Jeff's Junction,34.70914,-86.43377,1358,20,29,0,2,1,2
232,Jekyll,33.31707,-86.75285,15840,180,302,0,25,14,3
233,Jen Zen,34.71427,-86.43705,4577,8,79,0,6,41,2
234,Jimmy Sims Trail,34.81658,-87.30362,6336,42,40,0,9,18,1
235,John Hunt Park Mountain Bike Course,34.68285,-86.58905,22704,239,236,0,42,5,2
236,Johnsons Mountain,33.31382,-86.76962,9504,257,240,0,17,17,2
237,Jones Branch Loop,34.9074,-87.62066,12672,198,191,0,27,46,2
238,Jones Valley Trail,34.67354,-86.53024,3737,170,164,0,9,56,2
239,Kick Six,32.5541,-85.47576,7392,128,167,0,12,15,2
240,Kieth's Trail,34.75051,-86.50317,6336,52,145,0,11,48,3
241,King's Chapel,34.38466,-86.20632,3781,274,211,0,7,58,2
242,Kiowa,34.67854,-86.63993,1603,27,30,0,2,30,1
243,Knotty Pine Trail,34.50562,-85.63979,5808,83,64,0,13,3,2
244,L&N Trail,33.447874,-86.86078,1449,29,22,0,2,2,1
245,Lagoon,33.26409,-87.53221,5167,25,26,0,8,3,1
246,Lagoon XC,32.4011,-86.22605,6336,88,96,0,6,46,1
247,Lagoon XC Bypass,32.41391,-86.22704,783,23,13,0,0,54,1
248,Lake Crossing,30.25397,-87.65482,3917,3,3,0,4,27,0
249,Lake Trail,33.32274,-86.76354,11088,178,177,0,16,9,1
250,Lakeshore Drive,32.62836,-86.24946,4794,186,90,0,9,59,2
251,Lakeside Connector,32.55066,-85.48114,1952,7,14,0,2,41,1
252,Lakeside Trail,33.29689,-87.67746,9504,413,412,0,14,31,1
253,Lawson Branch Loop,34.91375,-87.61669,8448,176,176,0,23,24,2
254,LBC Bypass,33.26233,-87.53057,807,7,7,0,1,2,1
255,Leftwich,34.04265,-86.0278,1972,68,39,0,3,42,1
256,Lightning,33.34158,-86.72382,3858,52,251,0,8,25,3
257,Lightning Loop Trail,33.31223,-87.67909,2139,64,83,0,4,7,2
258,Little Zipper,32.63065,-86.25075,860,2,63,0,1,40,2
259,Logan Point Trail,34.75191,-86.51046,6864,201,110,0,13,45,2
260,Lollipop,34.81127,-87.69701,3609,65,134,0,7,27,1
261,Loop 1,34.1956,-86.8616,2339,72,63,0,9,40,2
262,Loop 2,34.19568,-86.86384,3310,56,119,0,4,58,2
263,Loop 3,34.19267,-86.86474,4298,91,96,0,9,20,2
264,Lost Lake Loop,33.19652,-86.99401,4485,74,57,0,11,15,1
265,Low Peak Trail,34.80525,-86.60112,1850,27,13,0,4,55,2
266,Lower Psycho,33.26721,-87.53327,2254,26,10,0,2,35,2
267,Lower Spring,33.49147,-85.80788,3176,135,178,0,7,38,2
268,Lower Tucker,34.71424,-86.43343,2690,46,67,0,6,22,2
269,Lowry Trail,34.65619,-86.51759,1322,147,21,0,4,10,3
270,LP Flow Trail,32.41675,-86.22801,1906,2,12,0,3,36,1
271,Luther's Pass,34.81235,-87.32806,14784,205,201,0,22,29,1
272,Madkin Loop East,34.66075,-86.63618,7392,122,77,0,13,39,2
273,Madkin Loop West,34.66075,-86.63618,8976,115,71,0,14,47,1
274,Main Line,32.62441,-86.24069,2635,14,13,0,3,41,1
275,Main Trunk #63,33.19927,-86.19363,22176,507,371,0,38,44,2
276,Mainline,31.33432,-85.71593,6336,190,221,0,11,7,2
277,Mama Bear,33.6088,-85.90997,7920,349,347,0,13,7,1
278,Mama's Milkshake,32.55073,-85.48922,1739,89,89,0,2,13,3
279,Mars,33.26524,-87.53573,6864,60,53,0,10,9,2
280,Marschall Trail,30.74723,-87.91776,1371,6,8,0,1,25,2
281,McDuffie Fitness Trail,33.51138,-86.75562,22176,239,240,0,39,3,2
282,McKay Hollow,34.74147,-86.51801,12144,591,580,1,26,0,4
283,Mercury,34.65897,-86.63429,1047,130,4,0,4,1,2
284,Middle Mountain Loop,33.63534,-86.86911,4803,72,73,0,14,13,2
285,Mike Thompson  Loop,30.69705,-88.2027,11088,85,86,0,18,41,3
286,Misery Trail,30.78702,-88.09998,7920,145,117,0,18,24,2
287,Miss Baker,34.65903,-86.63446,3530,8,54,0,5,42,1
288,Moonshine,34.38501,-86.20597,3920,271,131,0,10,24,2
289,Moonshine Ridge,34.04228,-86.0327,2488,104,110,0,4,38,1
290,Moonshine Trail,34.77111,-86.55138,2031,14,48,0,4,44,2
291,Motohanger #5,34.81112,-87.69718,2746,37,197,0,9,50,3
292,Mountain Man,34.70982,-86.46678,4094,6,343,0,9,50,3
293,Mountain Mist,34.7257,-86.50212,15312,92,206,0,22,16,3
294,Mr Toads Snake to Fore Play,33.31943,-86.76516,1767,40,33,0,3,6,2
295,Narnia,34.70917,-86.63751,5808,32,43,0,9,22,1
296,Narrow Ridge Side Trail,33.70153,-86.69203,2267,98,87,0,6,59,2
297,Narrows Ridge,33.702,-86.69256,13200,718,713,0,47,53,2
298,Native Azalea Trail,30.7481,-87.91196,2264,27,34,0,3,25,2
299,Natural Well Trail,34.72136,-86.53737,13200,226,655,0,48,46,4
300,Never Never Land Cut Off,34.49467,-85.63658,1552,27,52,0,2,31,1
301,Never Never Land Loop,34.50056,-85.63505,14256,374,374,0,22,27,2
302,New Trail,34.39043,-86.21515,4774,147,128,0,12,19,2
303,NICA,34.80766,-86.59893,7392,139,76,0,12,38,2
304,NORBA Heart Break Hill,32.55102,-85.47214,2281,48,133,0,4,34,3
305,North Lakes Connector Trail,33.35728,-86.70474,13200,289,274,0,17,44,1
306,North Loop,33.21398,-87.45705,5280,80,75,0,8,3,2
307,North Plateau Loop,34.74781,-86.51679,9504,86,83,0,10,20,2
308,Northern Pines,33.18609,-87.02736,6864,304,215,0,13,35,2
309,Nottingham,34.71064,-86.63783,2539,22,31,0,4,14,1
310,Oak Park,34.74782,-86.5501,5132,439,39,0,14,11,2
311,Old Apalachee Trail,30.73288,-87.91344,2814,33,53,0,6,50,1
312,Old River Trail / John Fowler Trail,30.74208,-87.92471,3225,29,22,0,7,30,1
313,Old Skool,32.54806,-85.48824,3537,48,48,0,5,55,2
314,Outlaws Revenge II,34.7161,-86.43443,2470,13,20,0,4,58,2
315,Outside Loop,31.27448,-85.47083,4308,123,74,0,3,36,1
316,Oval Office,33.64114,-85.84911,13200,432,430,0,20,48,2
317,Page Farm,34.81658,-87.30362,16368,271,185,0,24,10,1
318,Pancake Hollow,34.7132,-86.47811,5808,6,500,0,24,19,2
319,Papa Bear,33.61338,-85.90654,8448,281,194,0,15,10,2
320,Parking Connector #6,33.33171,-86.86268,1473,36,53,0,2,50,2
321,Pathkiller,34.03799,-86.03511,2267,166,105,0,5,49,1
322,Patriot,34.69615,-86.65274,14784,193,188,0,16,23,2
323,Peaceful Easy Feeling,33.19651,-86.99385,4800,74,49,0,9,12,1
324,Peak Attack,33.63562,-86.87205,1759,3,11,0,4,41,2
325,Pig Iron Loop,33.24742,-87.06643,16896,524,524,0,18,37,2
326,Pine Torch Trail #222,34.35342,-87.30121,46992,1619,1622,1,28,2,1
327,Piney Loop,34.80933,-86.59041,2917,14,42,0,5,14,1
328,Piney Woods Access,32.41789,-86.22408,2088,2,4,0,1,34,2
329,Piney Woods Loop,32.41399,-86.21953,1846,4,7,0,1,41,2
330,Pleasant Hill Trail,32.47875,-85.61836,20592,432,460,0,32,8,2
331,Power Trip,33.64109,-85.84894,2508,106,126,0,5,54,1
332,Powerline Loop,34.81458,-87.69291,2375,75,77,0,5,42,2
333,Powerline North,34.70943,-86.6444,1371,39,3,0,1,42,2
334,Powerline South,34.7096,-86.65279,2418,8,40,0,2,45,2
335,Project X,32.54518,-85.48799,1424,33,61,0,4,47,3
336,Quarry Road Trail,33.30982,-86.76792,5207,361,13,0,14,8,2
337,Quartz Course,32.62759,-86.25439,10560,224,249,0,16,56,2
338,Radio Gaga,33.64109,-85.84894,1818,6,14,0,3,38,1
339,Railroad Bed Trail,34.74342,-86.54179,8976,116,319,0,17,27,3
340,Ranger,34.59103,-86.52023,4042,292,190,0,39,40,3
341,Ranger Loop,34.80534,-87.69702,3463,162,106,0,8,4,2
342,Rattlesnake Ridge,33.32792,-86.76101,12144,108,127,0,20,57,2
343,Reaper,34.68489,-86.64985,2689,13,10,0,5,25,2
344,Red Horse (North) #523,33.79106,-85.58313,11088,216,327,0,20,21,2
345,Red Horse (South) #523,33.78837,-85.60338,5808,244,99,0,23,35,2
346,Red Rock,30.69397,-88.20031,11088,292,273,0,9,34,2
347,Redbull,31.33361,-85.72711,6336,75,40,0,13,39,2
348,Redding Trail,33.44846,-86.87169,6336,114,222,0,4,28,1
349,Redstone Arsenal Greenway,34.65061,-86.65453,36960,201,157,0,33,1,1
350,Reflection,33.18737,-87.01904,7392,191,262,0,13,39,2
351,Retreat,33.69958,-85.79625,6336,221,397,0,6,5,1
352,Reveille,33.70808,-85.79678,5209,343,179,0,8,26,1
353,Ridge Creek Connector #5,33.3305,-86.86795,1460,32,29,0,3,49,2
354,Ridge Loop 63A,33.19529,-86.1922,5190,122,123,0,7,13,2
355,Ridge Trail,33.3099,-87.67142,17424,457,446,0,28,48,1
356,Rock Bottom,32.55377,-85.46857,16368,182,202,0,31,29,2
357,Rock Garden Trail,34.70849,-86.42756,8448,107,350,0,15,29,3
358,Rock Slot,33.6228,-85.88574,3392,237,58,0,11,28,2
359,Rock Wall,34.81456,-86.59488,3917,102,6,0,9,59,2
360,Rock-n-Roll,34.70608,-86.43145,2572,7,169,0,5,1,4
361,Rocky,33.64495,-85.85105,2480,53,46,0,4,23,1
362,Rocky Nightmare,34.73032,-86.50762,3999,18,54,0,9,22,3
363,Roller Coaster,32.41583,-86.22697,909,6,6,0,0,51,2
364,Rollercoaster #3,34.81136,-87.69575,1654,80,81,0,2,47,3
365,Rooster Ridge,34.03723,-86.03711,4761,208,243,0,10,4,1
366,Rust Bucket,33.19731,-87.00858,10032,211,363,0,14,11,2
367,S.A.M.'s Creekside Trail,31.21356,-85.44105,4511,22,25,0,5,11,1
368,Sammy Hardin Loop,34.82212,-87.31565,4081,12,18,0,5,1,1
369,Saturn,34.67067,-86.64879,6336,35,41,0,10,54,2
370,School's Out,31.33979,-85.71566,3614,22,79,0,3,52,2
371,Seven Bridges,33.32887,-86.75133,7920,101,110,0,14,18,2
372,Shakedown Street,32.62771,-86.24554,7920,137,137,0,8,14,1
373,Shay's Run,30.73289,-87.91406,7392,186,233,0,15,28,2
374,Shell Toomer Parkway,32.55467,-85.48144,7920,84,66,0,11,23,1
375,Sherwood Forest,34.71064,-86.63783,2772,18,38,0,4,17,2
376,Shoal 'Nuff,33.18128,-87.01703,3271,85,97,0,4,40,2
377,Shovelton,34.8157,-86.60613,3409,54,3,0,9,16,2
378,Sidewinder,34.70689,-86.42026,1732,16,39,0,3,6,1
379,Siege Line Trail,30.7467,-87.90722,2260,41,40,0,5,31,2
380,Sinks,34.74404,-86.50828,7920,340,388,0,16,26,3
381,Sister,33.26905,-87.53418,1375,31,36,0,1,56,2
382,Skirmish Line Trail,30.74313,-87.91234,1086,3,42,0,1,56,2
